Nama Potensial Lokasi,Pulau Recycling,MRC,Jarak
Executive Industrial Park,Sumatera,PT CATL x IMIP,3449.18
Citra Buana Industrial Park II,Sumatera,PT CATL x IMIP,3448.35
Taiwan International Park,Sumatera,PT CATL x IMIP,3442.323
Bintang Industrial Park,Sumatera,PT CATL x IMIP,3469.824
Batamindo Industrial Park,Sumatera,PT CATL x IMIP,3454.527
Citra Buana Industrial Park III,Sumatera,PT CATL x IMIP,3448.35
Cammo Industrial Park,Sumatera,PT CATL x IMIP,3452.251
Kawasan Industri Aceh - Ladong,Sumatera,PT CATL x IMIP,4757.943
Horizon Industrial Park,Sumatera,PT CATL x IMIP,3469.906
Kara Industrial Estate,Sumatera,PT CATL x IMIP,3451.436
Hijrah Industrial Park,Sumatera,PT CATL x IMIP,3450.208
Tunas Bizpark Industrial Estate,Sumatera,PT CATL x IMIP,3447.123
Union Industrial Park,Sumatera,PT CATL x IMIP,3459.197
Tunas 2 Industrial Estate,Sumatera,PT CATL x IMIP,3448.708
Tunas Industrial Estate,Sumatera,PT CATL x IMIP,3447.602
Malindo Industrial Park,Sumatera,PT CATL x IMIP,3459.55
Lytech Industrial Park,Sumatera,PT CATL x IMIP,3447.864
Sarana Industrial Point,Sumatera,PT CATL x IMIP,3447.626
Wiraraja Industrial Park,Sumatera,PT CATL x IMIP,3437.647
Tunas Kabil Industrial Estate,Sumatera,PT CATL x IMIP,3436.967
Kawasan Industri Terpadu Kabil (KITK),Sumatera,PT CATL x IMIP,3444.703
Megacipta Industrial Park,Sumatera,PT CATL x IMIP,3461.247
Bintan Industrial Estate,Sumatera,PT CATL x IMIP,3459.03
Kawasan Industri Manis,Jawa,PT CATL x IMIP,2286.903
Panbil Industrial Estate,Sumatera,PT CATL x IMIP,3453.945
East Jakarta Industrial Park,Jawa,PT CATL x IMIP,2218.105
Bekasi International Industrial Estate,Jawa,PT CATL x IMIP,2219.166
Greenland International Industrial Center (GIIC),Jawa,PT CATL x IMIP,2213.073
Greenland International Industrial Center 2 (GIIC 2),Jawa,PT CATL x IMIP,2212.816
Jakarta Industrial Estate Pulogadung,Jawa,PT CATL x IMIP,2246.646
Jatiluhur Industrial Smart City,Jawa,PT CATL x IMIP,2188.146
Karawang New Industrial City,Jawa,PT CATL x IMIP,2208.972
Karawang International Industrial City,Jawa,PT CATL x IMIP,2202.028
Kawasan Industri Gobel,Jawa,PT CATL x IMIP,2224.937
Puri Industrial Park 2000,Sumatera,PT CATL x IMIP,3449.866
Kawasan Industri Marunda Center,Jawa,PT CATL x IMIP,2249.957
Kawasan Industri Intijaya Subang Industri,Jawa,PT CATL x IMIP,2151.079
Kawasan Industri Rancaekek,Jawa,PT CATL x IMIP,2160.945
Kawasan Industri Mitrakarawang,Jawa,PT CATL x IMIP,2196.301
Kawasan Industri Lippo Cikarang,Jawa,PT CATL x IMIP,2214.661
Kawasan Industri Indotaisei (Kota Bukit Indah),Jawa,PT CATL x IMIP,2178.088
Kota Bukit Indah Industrial City,Jawa,PT CATL x IMIP,2176.235
Kawasan Industri Kujang Cikampek,Jawa,PT CATL x IMIP,2179.951
Kawasan Industri Sentul,Jawa,PT CATL x IMIP,2274.343
MM2100 Industrial Town MMID,Jawa,PT CATL x IMIP,2222.031
Kawasan Industri Jababeka,Jawa,PT CATL x IMIP,2218.005
Batang Industrial Park,Jawa,PT CATL x IMIP,1904.507
Suryacipta Subang Smartpolitan,Jawa,PT CATL x IMIP,2159.828
Suryacipta IE,Jawa,PT CATL x IMIP,2194.172
BSB Industrial Park,Jawa,PT CATL x IMIP,1836.774
Sinar Primera Industrial Karawang Eco City (SPIKE),Jawa,PT CATL x IMIP,2202.161
Kawasan Industri Terboyo Semarang,Jawa,PT CATL x IMIP,1829.495
Kawasan Industri Kendal,Jawa,PT CATL x IMIP,1843.203
Kawasan Industri Candi,Jawa,PT CATL x IMIP,1829.112
iSentra @Lamongan,Jawa,PT CATL x IMIP,1533.225
Java Integrated Industrial and Port Estate,Jawa,PT CATL x IMIP,1500.783
Kawasan Industri Piyungan Creative Economy Park,Jawa,PT CATL x IMIP,1797.389
Kawasan Industri Gresik,Jawa,PT CATL x IMIP,1490.194
Kawasan Industri Safe N Lock,Jawa,PT CATL x IMIP,1504.086
Kawasan Industri SiRIE,Jawa,PT CATL x IMIP,1503.839
Maspion Industrial Estate,Jawa,PT CATL x IMIP,1495.866
Kawasan Industri Tuban,Jawa,PT CATL x IMIP,1596.707
Pasuruan Industrial Estate Rembang,Jawa,PT CATL x IMIP,1533.461
Ngoro Industrial Park,Jawa,PT CATL x IMIP,1523.652
Surabaya Industrial Estate Rungkut,Jawa,PT CATL x IMIP,1494.509
Sidoarjo Industrial Estate Berbek,Jawa,PT CATL x IMIP,1494.873
Kawasan Industri & Pergudangan Cikupamas,Jawa,PT CATL x IMIP,2291.729
Kawasan Industri Aviarna,Jawa,PT CATL x IMIP,1831.197
Kawasan Industri Blessindo,Jawa,PT CATL x IMIP,2297.312
Kawasan Industri Terpadu Batang,Jawa,PT CATL x IMIP,1872.582
Kawasan Industri Terpadu Wilmar,Jawa,PT CATL x IMIP,2351.438
Krakatau Industrial Estate Cilegon,Jawa,PT CATL x IMIP,2353.944
Kawasan Taman Industri Busan (KIKM),Jawa,PT CATL x IMIP,2302.407
Millenium Industrial Estate,Jawa,PT CATL x IMIP,2296.709
Modern Cikande Industrial Estate,Jawa,PT CATL x IMIP,2313.226
Kawasan Industri Morowali,Sulawesi,PT CATL x IMIP,0
Indonesia Huabao Industrial Park (IHIP),Sulawesi,PT CATL x IMIP,95.11
Kawasan Industri Wijayakusuma,Jawa,PT CATL x IMIP,1831.475
Kawasan Industri Medan,Sumatera,PT CATL x IMIP,4147.258
Sebuku Indonesia Industrial Park,Kalimantan,PT CATL x IMIP,1309.631
Kawasan Industri Sei Mangkei (KEK),Sumatera,PT CATL x IMIP,4040.999
Kawasan Industri Stardust,Jawa,PT CATL x IMIP,159.881
Kawasan Industri Palu,Sulawesi,PT CATL x IMIP,535.183
Indonesia Konawe Industrial Park,Sulawesi,PT CATL x IMIP,119.4
Kawasan Industri Motui,Sulawesi,PT CATL x IMIP,216.382
Gerindo Eco Industrial Park,Jawa,PT CATL x IMIP,1796.825
Huadi Bantaeng Industrial Park,Sulawesi,PT CATL x IMIP,641.458
Kawasan Industri Dumai,Sumatera,PT CATL x IMIP,3675.068
Kawasan Industri Makasar,Sulawesi,PT CATL x IMIP,641.17
Kawasan industri Tanjung Buton,Sumatera,PT CATL x IMIP,3543.144
Kawasan Industri Tanjung Enim,Sumatera,PT CATL x IMIP,2940.859
Kawasan Industri Mitra Propindo Lestari,Sumatera,PT CATL x IMIP,2719.99
KI Takalar,Sulawesi,PT CATL x IMIP,703.139
Kawasan Industri Sadai,Sumatera,PT CATL x IMIP,3202.843
KEK Gresik,Jawa,PT CATL x IMIP,1498.176
Kawasan Industri Buli,Kepulauan Maluku,PT CATL x IMIP,1898.129
KEK Setangga,Kalimantan,PT CATL x IMIP,1503.465
KEK Palu,Sulawesi,PT CATL x IMIP,535.151
KEK Kendal,Jawa,PT CATL x IMIP,1843.327
Kawasan Industri Teluk Weda,Kepulauan Maluku,PT CATL x IMIP,1851.094
Kawasan Industri Jorong,Kalimantan,PT CATL x IMIP,1311.438
Kaltim Industrial Estate,Kalimantan,PT CATL x IMIP,1147.292
