Nama Dealer,Provinsi,Pulau,Latitude,Longitude,Tipe Dealer
Hyundai Pramuka,DKI Jakarta,Jawa,-6.1921991,106.8642989,Dealer Mobil
Hyundai Lotte Shopping Avenue,DKI Jakarta,Jawa,-6.2237689,106.8209781,Dealer Mobil
Hyundai DI Panjaitan,DKI Jakarta,Jawa,-6.2354697,106.8755182,Dealer Mobil
Hyundai Pancoran,DKI Jakarta,Jawa,-6.2457315,106.8404494,Dealer Mobil
Hyundai Sawah Besar,DKI Jakarta,Jawa,-6.160073,106.8203416,Dealer Mobil
Hyundai Mampang,DKI Jakarta,Jawa,-6.2643238,106.8280878,Dealer Mobil
Hyundai Kelapa Gading,DKI Jakarta,Jawa,-6.1542097,106.8912934,Dealer Mobil
Hyundai Simprug,DKI Jakarta,Jawa,-6.2298699,106.7879879,Dealer Mobil
Hyundai Pegangsaan,DKI Jakarta,Jawa,-6.1746187,106.9112246,Dealer Mobil
Hyundai Lippo Plaza Kramat Jati,DKI Jakarta,Jawa,-6.2709275,106.8658473,Dealer Mobil
Hyundai Sunter,DKI Jakarta,Jawa,-6.1311834,106.8529105,Dealer Mobil
Hyundai Kebon Jeruk,DKI Jakarta,Jawa,-6.1740844,106.7627192,Dealer Mobil
Hyundai Pondok Indah Mall,DKI Jakarta,Jawa,-6.2635006,106.7804189,Dealer Mobil
Hyundai Kalimalang,DKI Jakarta,Jawa,-6.2480377,106.9264631,Dealer Mobil
Hyundai Fatmawati,DKI Jakarta,Jawa,-6.2838663,106.7931796,Dealer Mobil
Hyundai Pluit,DKI Jakarta,Jawa,-6.1179777,106.7864516,Dealer Mobil
Hyundai Lippo Mall Puri,DKI Jakarta,Jawa,-6.1877071,106.73607,Dealer Mobil
Hyundai Pondok Gede,Jawa Barat,Jawa,-6.283589,106.9256448,Dealer Mobil
Hyundai Cilandak,DKI Jakarta,Jawa,-6.3081386,106.7784323,Dealer Mobil
Hyundai Ciputat,Banten,Jawa,-6.2958891,106.7625581,Dealer Mobil
Hyundai PIK,DKI Jakarta,Jawa,-6.1126682,106.7405731,Dealer Mobil
Hyundai Summarecon Bekasi,Jawa Barat,Jawa,-6.2258347,107.0008623,Dealer Mobil
Hyundai Cimanggis,Jawa Barat,Jawa,-6.3569086,106.8417792,Dealer Mobil
Hyundai Bintaro,Banten,Jawa,-6.2730183,106.695957,Dealer Mobil
Hyundai Cipondoh,Banten,Jawa,-6.1921369,106.6695871,Dealer Mobil
Hyundai Margonda,Jawa Barat,Jawa,-6.3808403,106.8282201,Dealer Mobil
Hyundai Bekasi Timur,Jawa Barat,Jawa,-6.2528524,107.029368,Dealer Mobil
Hyundai Cibubur,Jawa Barat,Jawa,-6.3796845,106.9204378,Dealer Mobil
Hyundai Sawangan,Jawa Barat,Jawa,-6.3728704,106.7424303,Dealer Mobil
Hyundai Tangerang City,Banten,Jawa,-6.1899397,106.639302,Dealer Mobil
Hyundai Serpong,Banten,Jawa,-6.2327937,106.6402943,Dealer Mobil
