Nama Lokasi,Provinsi,Pulau,Latitude,Longitude
Kawasan Industri Aceh - Ladong,Nanggroe Aceh Darussalam,Sumatera,5.6357091,95.4498988
Batamindo Industrial Park,Kepulauan Riau,Sumatera,1.0682298,104.0225535
Bintang Industrial Park,Kepulauan Riau,Sumatera,1.0624336,103.9211911
Executive Industrial Park,Kepulauan Riau,Sumatera,1.1147895,104.0598004
Cammo Industrial Park,Kepulauan Riau,Sumatera,1.1129527,104.04587
Citra Buana Industrial Park II,Kepulauan Riau,Sumatera,1.1101089,104.066003
Citra Buana Industrial Park III,Kepulauan Riau,Sumatera,1.1101089,104.066003
Hijrah Industrial Park,Kepulauan Riau,Sumatera,1.115986,104.0495579
Horizon Industrial Park,Kepulauan Riau,Sumatera,1.0201374,103.947547
Taiwan International Park,Kepulauan Riau,Sumatera,1.0980932,104.1204356
Kara Industrial Estate,Kepulauan Riau,Sumatera,1.1103031,104.0436706
Lytech Industrial Park,Kepulauan Riau,Sumatera,1.1079886,104.0646121
Malindo Industrial Park,Kepulauan Riau,Sumatera,1.1657896,104.0121957
Tunas Bizpark Industrial Estate,Kepulauan Riau,Sumatera,1.1064229,104.0766473
Tunas Industrial Estate,Kepulauan Riau,Sumatera,1.1110777,104.0733743
Tunas 2 Industrial Estate,Kepulauan Riau,Sumatera,1.1123846,104.0673854
Tunas Kabil Industrial Estate,Kepulauan Riau,Sumatera,1.05477,104.1260304
Union Industrial Park,Kepulauan Riau,Sumatera,1.1652389,104.0157422
Sarana Industrial Point,Kepulauan Riau,Sumatera,1.1072757,104.0671238
Wiraraja Industrial Park,Kepulauan Riau,Sumatera,1.0568094,104.1280067
Megacipta Industrial Park,Kepulauan Riau,Sumatera,1.1788461,104.0098754
Kawasan Industri Terpadu Kabil (KITK),Kepulauan Riau,Sumatera,1.1136494,104.1338832
Bintan Industrial Estate,Kepulauan Riau,Sumatera,1.0034204,104.2560569
Kawasan Industri Manis,Banten,Jawa,-6.2141529,106.5748431
Panbil Industrial Estate,Kepulauan Riau,Sumatera,1.0742349,104.0247155
Puri Industrial Park 2000,Kepulauan Riau,Sumatera,1.110548,104.0563309
Jakarta Industrial Estate Pulogadung,DKI Jakarta,Jawa,-6.206332,106.9195699
Bekasi International Industrial Estate,Jawa Barat,Jawa,-6.3402602,107.1298404
East Jakarta Industrial Park,Jawa Barat,Jawa,-6.3275751,107.1220771
Greenland International Industrial Center (GIIC),Jawa Barat,Jawa,-6.3776669,107.1794369
Greenland International Industrial Center 2 (GIIC 2),Jawa Barat,Jawa,-6.3757205,107.178214
Jatiluhur Industrial Smart City,Jawa Barat,Jawa,-6.503087,107.4168265
Karawang International Industrial City,Jawa Barat,Jawa,-6.3594374,107.2742534
Karawang New Industrial City,Jawa Barat,Jawa,-6.4040834,107.2377097
Kawasan Industri Gobel,Jawa Barat,Jawa,-6.2666684,107.0886865
Kawasan Industri Indotaisei (Kota Bukit Indah),Jawa Barat,Jawa,-6.4284928,107.4267813
Kawasan Industri Intijaya Subang Industri,Jawa Barat,Jawa,-6.4833007,107.6819107
Kawasan Industri Jababeka,Jawa Barat,Jawa,-6.2949304,107.1463158
Kawasan Industri Kujang Cikampek,Jawa Barat,Jawa,-6.4125054,107.4417456
Kawasan Industri Lippo Cikarang,Jawa Barat,Jawa,-6.3375023,107.1488559
Kawasan Industri Marunda Center,Jawa Barat,Jawa,-6.0998637,106.9761697
Kawasan Industri Mitrakarawang,Jawa Barat,Jawa,-6.3816956,107.3106055
Kawasan Industri Rancaekek,Jawa Barat,Jawa,-6.962019,107.799664
Kawasan Industri Sentul,Jawa Barat,Jawa,-6.5164911,106.85979
Kota Bukit Indah Industrial City,Jawa Barat,Jawa,-6.4499605,107.4565787
MM2100 Industrial Town MMID,Jawa Barat,Jawa,-6.2949138,107.0788343
Sinar Primera Industrial Karawang Eco City (SPIKE),Jawa Barat,Jawa,-6.4385375,107.3586406
Suryacipta IE,Jawa Barat,Jawa,-6.3740176,107.3276353
Suryacipta Subang Smartpolitan,Jawa Barat,Jawa,-6.4792142,107.6199618
Batang Industrial Park,Jawa Tengah,Jawa,-6.966151,109.7980058
BSB Industrial Park,Jawa Tengah,Jawa,-7.0423568,110.3291225
Kawasan Industri Aviarna,Jawa Tengah,Jawa,-6.9716366,110.3364482
Kawasan Industri Kendal,Jawa Tengah,Jawa,-6.9372747,110.24583
Kawasan Industri Terboyo Semarang,Jawa Tengah,Jawa,-6.946495,110.4699607
Kawasan Industri Terpadu Batang,Jawa Tengah,Jawa,-6.930301,109.9642772
Kawasan Industri Wijayakusuma,Jawa Tengah,Jawa,-6.974627,110.3256723
Kawasan Industri Candi,Jawa Tengah,Jawa,-7.0033763,110.3596694
Kawasan Industri Piyungan Creative Economy Park,Daerah Istimewa Yogyakarta,Jawa,-7.8415977,110.4531999
iSentra @Lamongan,Jawa Timur,Jawa,-6.8781163,112.4177233
Java Integrated Industrial and Port Estate,Jawa Timur,Jawa,-7.0859254,112.603026
Kawasan Industri Gresik,Jawa Timur,Jawa,-7.1594737,112.6352774
Kawasan Industri Safe N Lock,Jawa Timur,Jawa,-7.4625296,112.7393585
Kawasan Industri SiRIE,Jawa Timur,Jawa,-7.4579727,112.7416084
Kawasan Industri Tuban,Jawa Timur,Jawa,-6.7866179,111.9087131
Maspion Industrial Estate,Jawa Timur,Jawa,-7.1249651,112.610258
Ngoro Industrial Park,Jawa Timur,Jawa,-7.5572135,112.612873
